	lexeme	lang	mframe	mframe_trans	frame	tax_class	field	meaning	example	comment	usage
4655	-gur’kstəms	мокшанский	красноречивый человек	loman'	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
4656	-gur’kstəms	мокшанский	ловкий человек	loman'	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
4657	-gur’kstəms	мокшанский	сообразительный человек	loman'	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
4355	-lame	эстонский	красноречивый человек	inimene	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
4356	-lame	эстонский	ловкий человек	inimene	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
4357	-lame	эстонский	сообразительный человек	inimene	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
4130	-libe	эстонский	красноречивый человек	inimene	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
4131	-libe	эстонский	ловкий человек	inimene	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
4132	-libe	эстонский	сообразительный человек	inimene	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
4505	-pajłi	хантыйский (говор с. теги)	красноречивый человек	xănnexuo	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
4506	-pajłi	хантыйский (говор с. теги)	ловкий человек	xănnexuo	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
4507	-pajłi	хантыйский (говор с. теги)	сообразительный человек	xănnexuo	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
4205	-sile	эстонский	красноречивый человек	inimene	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
4206	-sile	эстонский	ловкий человек	inimene	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
4207	-sile	эстонский	сообразительный человек	inimene	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
4280	-tasane	эстонский	красноречивый человек	inimene	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
4281	-tasane	эстонский	ловкий человек	inimene	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
4282	-tasane	эстонский	сообразительный человек	inimene	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
4730	-vad'av	мокшанский	красноречивый человек	loman'	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
4731	-vad'av	мокшанский	ловкий человек	loman'	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
4732	-vad'av	мокшанский	сообразительный человек	loman'	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
4580	-valaz’ɛ	мокшанский	красноречивый человек	loman'	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
4581	-valaz’ɛ	мокшанский	ловкий человек	loman'	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
4582	-valaz’ɛ	мокшанский	сообразительный человек	loman'	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
4805	-vid’ə	мокшанский	красноречивый человек	loman'	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
4806	-vid’ə	мокшанский	ловкий человек	loman'	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
4807	-vid’ə	мокшанский	сообразительный человек	loman'	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
4430	-wŏł’ǝk	хантыйский (говор с. теги)	красноречивый человек	xănnexuo	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
4431	-wŏł’ǝk	хантыйский (говор с. теги)	ловкий человек	xănnexuo	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
4432	-wŏł’ǝk	хантыйский (говор с. теги)	сообразительный человек	xănnexuo	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
4955	-валаня	эрзянский	красноречивый человек	ломань	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
4956	-валаня	эрзянский	ловкий человек	ломань	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
4957	-валаня	эрзянский	сообразительный человек	ломань	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
3230	-вольк	коми-зырянский (ижемский диалект)	красноречивый человек	морт	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
3231	-вольк	коми-зырянский (ижемский диалект)	ловкий человек	морт	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
3232	-вольк	коми-зырянский (ижемский диалект)	сообразительный человек	морт	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
3305	-вольсъёоны	коми-зырянский (ижемский диалект)	красноречивый человек	морт	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
3306	-вольсъёоны	коми-зырянский (ижемский диалект)	ловкий человек	морт	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
3307	-вольсъёоны	коми-зырянский (ижемский диалект)	сообразительный человек	морт	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
3005	-гладкий	русский	красноречивый человек	человек	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
3006	-гладкий	русский	ловкий человек	человек	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
3007	-гладкий	русский	сообразительный человек	человек	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
5030	-лапужа	эрзянский	красноречивый человек	ломань	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
5031	-лапужа	эрзянский	ловкий человек	ломань	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
5032	-лапужа	эрзянский	сообразительный человек	ломань	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
3380	-мольыд	коми-зырянский (ижемский диалект)	красноречивый человек	морт	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
3381	-мольыд	коми-зырянский (ижемский диалект)	ловкий человек	морт	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
3382	-мольыд	коми-зырянский (ижемский диалект)	сообразительный человек	морт	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
5180	-нăсадăрць	ненецкий	красноречивый человек	ненэць'	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
5181	-нăсадăрць	ненецкий	ловкий человек	ненэць'	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
5182	-нăсадăрць	ненецкий	сообразительный человек	ненэць'	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
4880	-нолажа	эрзянский	красноречивый человек	ломань	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
4881	-нолажа	эрзянский	ловкий человек	ломань	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
4882	-нолажа	эрзянский	сообразительный человек	ломань	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
3455	-плавкес	коми-зырянский (ижемский диалект)	красноречивый человек	морт	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
3456	-плавкес	коми-зырянский (ижемский диалект)	ловкий человек	морт	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
3457	-плавкес	коми-зырянский (ижемский диалект)	сообразительный человек	морт	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
3155	-плоский	русский	красноречивый человек	человек	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
3156	-плоский	русский	ловкий человек	человек	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
3157	-плоский	русский	сообразительный человек	человек	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
3080	-ровный	русский	красноречивый человек	человек	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
3081	-ровный	русский	ловкий человек	человек	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
3082	-ровный	русский	сообразительный человек	человек	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
5105	-салăт”	ненецкий	красноречивый человек	ненэць'	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
5106	-салăт”	ненецкий	ловкий человек	ненэць'	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
5107	-салăт”	ненецкий	сообразительный человек	ненэць'	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
5255	-салмуй	ненецкий	красноречивый человек	ненэць'	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
5256	-салмуй	ненецкий	ловкий человек	ненэць'	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
5257	-салмуй	ненецкий	сообразительный человек	ненэць'	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
2930	-скользкий	русский	красноречивый человек	человек	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
2931	-скользкий	русский	ловкий человек	человек	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
2932	-скользкий	русский	сообразительный человек	человек	быстрота, легкость выполнения действия	качества человека	гладкий	п			-
3680	-光溜 guāngliu	китайский	красноречивый человек		быстрота, легкость выполнения действия	качества человека	гладкий	п			-
3681	-光溜 guāngliu	китайский	ловкий человек		быстрота, легкость выполнения действия	качества человека	гладкий	п			-
3682	-光溜 guāngliu	китайский	сообразительный человек		быстрота, легкость выполнения действия	качества человека	гладкий	п			-
3605	-光滑 guānghuá	китайский	красноречивый человек		быстрота, легкость выполнения действия	качества человека	гладкий	п			-
3606	-光滑 guānghuá	китайский	ловкий человек		быстрота, легкость выполнения действия	качества человека	гладкий	п			-
3607	-光滑 guānghuá	китайский	сообразительный человек		быстрота, легкость выполнения действия	качества человека	гладкий	п			-
3980	-平 píng	китайский	красноречивый человек		быстрота, легкость выполнения действия	качества человека	гладкий	п			-
3981	-平 píng	китайский	ловкий человек		быстрота, легкость выполнения действия	качества человека	гладкий	п			-
3982	-平 píng	китайский	сообразительный человек		быстрота, легкость выполнения действия	качества человека	гладкий	п			-
3830	-平坦 píngtǎn	китайский	красноречивый человек		быстрота, легкость выполнения действия	качества человека	гладкий	п			-
3831	-平坦 píngtǎn	китайский	ловкий человек		быстрота, легкость выполнения действия	качества человека	гладкий	п			-
3832	-平坦 píngtǎn	китайский	сообразительный человек		быстрота, легкость выполнения действия	качества человека	гладкий	п			-
3905	-平整 píngzhěng	китайский	красноречивый человек		быстрота, легкость выполнения действия	качества человека	гладкий	п			-
3906	-平整 píngzhěng	китайский	ловкий человек		быстрота, легкость выполнения действия	качества человека	гладкий	п			-
3907	-平整 píngzhěng	китайский	сообразительный человек		быстрота, легкость выполнения действия	качества человека	гладкий	п			-
4055	-平滑 pínghuá	китайский	красноречивый человек		быстрота, легкость выполнения действия	качества человека	гладкий	п			-
4056	-平滑 pínghuá	китайский	ловкий человек		быстрота, легкость выполнения действия	качества человека	гладкий	п			-
4057	-平滑 pínghuá	китайский	сообразительный человек		быстрота, легкость выполнения действия	качества человека	гладкий	п			-
3755	-滑 huá	китайский	красноречивый человек		быстрота, легкость выполнения действия	качества человека	гладкий	п			-
3756	-滑 huá	китайский	ловкий человек		быстрота, легкость выполнения действия	качества человека	гладкий	п			-
3757	-滑 huá	китайский	сообразительный человек		быстрота, легкость выполнения действия	качества человека	гладкий	п			-
3530	liukas	финский	красноречивый человек	ihminen	быстрота, легкость выполнения действия	качества человека	гладкий	п			+
3531	liukas	финский	ловкий человек	ihminen	быстрота, легкость выполнения действия	качества человека	гладкий	п			+
3532	liukas	финский	сообразительный человек	ihminen	быстрота, легкость выполнения действия	качества человека	гладкий	п			+
4665	-gur’kstəms	мокшанский	гладкая доска	doska	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
4666	-gur’kstəms	мокшанский	гладкий камень	kev	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
4365	-lame	эстонский	гладкая доска	puitlaud	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
4366	-lame	эстонский	гладкий камень	kivi	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
4140	-libe	эстонский	гладкая доска	puitlaud	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
4141	-libe	эстонский	гладкий камень	kivi	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
3540	-liukas	финский	гладкая доска	lauta	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
3541	-liukas	финский	гладкий камень	kivi	гладкие поверхности тактильно воспринимаемых предметов: артефакты	физ. свойства	гладкий	и			-
