lexeme	lang	mframe	mframe_trans	frame	tax_class	field	meaning	example	comment	usage
spitz	немецкий	острая наблюдательность	наблюдательность	интенсивный по степени проявления (о качествах человека)	высокая степень		f			0
gur’kstəms	мокшанский	гладкая шерсть (у собаки)	pona		физ. свойства	гладкий	d			0
lame	эстонский	гладкая шерсть (у собаки)	karv		физ. свойства	гладкий	d			0
lame	эстонский	гладкие волосы (хорошо причесанные)	juuksed		физ. свойства	гладкий	d			0
lame	эстонский	гладкий подбородок (чисто выбритый)	lõug		физ. свойства	гладкий	d			0
libe	эстонский	гладкая шерсть (у собаки)	karv		физ. свойства	гладкий	d			0
libe	эстонский	гладкие волосы (хорошо причесанные)	juuksed		физ. свойства	гладкий	d			0
libe	эстонский	гладкий подбородок (чисто выбритый)	lõug		физ. свойства	гладкий	d			0
liukas	финский	гладкая шерсть (у собаки)	villa		физ. свойства	гладкий	d			0
pajłi	хантыйский (говор с. теги)	гладкая шерсть (у собаки)	pŭn		физ. свойства	гладкий	d			0
pajłi	хантыйский (говор с. теги)	гладкие волосы (хорошо причесанные)	uopǝt		физ. свойства	гладкий	d			0
pajłi	хантыйский (говор с. теги)	гладкие щеки (чисто выбритые)	weš pŭŋǝł		физ. свойства	гладкий	d			0
tasane	эстонский	гладкая шерсть (у собаки)	karv		физ. свойства	гладкий	d			0
tasane	эстонский	гладкие волосы (хорошо причесанные)	juuksed		физ. свойства	гладкий	d			0
tasane	эстонский	гладкий подбородок (чисто выбритый)	lõug		физ. свойства	гладкий	d			0
valaz’ɛ	мокшанский	гладкая шерсть (у собаки)	pona		физ. свойства	гладкий	d			0
vid’ə	мокшанский	гладкая шерсть (у собаки)	pona		физ. свойства	гладкий	d			0
вольк	коми-зырянский (ижемский диалект)	гладкая шерсть (у собаки)	гӧн		физ. свойства	гладкий	d			0
вольк	коми-зырянский (ижемский диалект)	гладкие волосы (хорошо причесанные)	юрси		физ. свойства	гладкий	d			0
вольк	коми-зырянский (ижемский диалект)	гладкие щеки (чисто выбритые)	банбӧк		физ. свойства	гладкий	d			0
вольк	коми-зырянский (ижемский диалект)	гладкий подбородок (чисто выбритый)	тшӧка		физ. свойства	гладкий	d			0
вольсъёоны	коми-зырянский (ижемский диалект)	гладкая шерсть (у собаки)	гӧн		физ. свойства	гладкий	d			0
вольсъёоны	коми-зырянский (ижемский диалект)	гладкие волосы (хорошо причесанные)	юрси		физ. свойства	гладкий	d			0
вольсъёоны	коми-зырянский (ижемский диалект)	гладкие щеки (чисто выбритые)	банбӧк		физ. свойства	гладкий	d			0
вольсъёоны	коми-зырянский (ижемский диалект)	гладкий подбородок (чисто выбритый)	тшӧка		физ. свойства	гладкий	d			0
лапужа	эрзянский	гладкая шерсть (у собаки)	пона		физ. свойства	гладкий	d			0
лапужа	эрзянский	гладкие волосы (хорошо причесанные)	черь		физ. свойства	гладкий	d			0
лапужа	эрзянский	гладкие перышки птицы	толгине		физ. свойства	гладкий	d			0
нăсадăрць	ненецкий	гладкая шерсть (у собаки)	"тăр"""		физ. свойства	гладкий	d			0
нăсадăрць	ненецкий	гладкие волосы (хорошо причесанные)	ӈэбт		физ. свойства	гладкий	d			0
нолажа	эрзянский	гладкая шерсть (у собаки)	пона		физ. свойства	гладкий	d			0
нолажа	эрзянский	гладкие волосы (хорошо причесанные)	черь		физ. свойства	гладкий	d			0
нолажа	эрзянский	гладкие перышки птицы	толгине		физ. свойства	гладкий	d			0
плавкес	коми-зырянский (ижемский диалект)	гладкая шерсть (у собаки)	гӧн		физ. свойства	гладкий	d			0
плавкес	коми-зырянский (ижемский диалект)	гладкие волосы (хорошо причесанные)	юрси		физ. свойства	гладкий	d			0
плавкес	коми-зырянский (ижемский диалект)	гладкие щеки (чисто выбритые)	банбӧк		физ. свойства	гладкий	d			0
плавкес	коми-зырянский (ижемский диалект)	гладкий подбородок (чисто выбритый)	тшӧка		физ. свойства	гладкий	d			0
плоский	русский	гладкая шерсть (у собаки)	шерсть		физ. свойства	гладкий	d			0
