лексема	язык	микрофрейм	минимальный контекст на языке	фрейм	такс.класс	поле	тип значения	пример	комментарии
heavy	английский	тяжелая сумка	heavy bag	тяжело нести	вес	тяжелый	и
heavy	английский	тяжелый чемодан	heavy suitcase	тяжело нести	вес	тяжелый	и
heavy	английский	тяжелый рюкзак	heavy rucksack	тяжело нести	вес	тяжелый	и
heavy	английский	тяжелое ведро с водой	heavy bucket with water	тяжело нести	вес	тяжелый	и
heavy	английский	шкаф	heavy/immovably heavy/immovable	исходно тяжелый: возможно проявление степени (рус. неподъемный)	вес	тяжелый	и	Heavy bookcase - either to carry or by the look
heavy	английский	пианино	heavy/immovable	исходно тяжелый: возможно проявление степени (рус. неподъемный)	вес	тяжелый	и	There was a large heavy (about weight) piano in the corner.
*heavy	английский	тугой ящик		трудно сдвинуть/вытащить		тугой	и
*heavy	английский	дверь (туго открывается)		трудно сдвинуть/вытащить		тугой	и	The heavy door slammed to. (on its own accord, its weight is moving it) - то есть имеется в виду дверь с большим весом
		тугая кнопка		трудно сдвинуть/вытащить		тугой
*heavy	английский	тугая педаль		трудно сдвинуть/вытащить		тугой	и	stiff
heavy	английский	массивная люстра	heavy chandelier	тяжелый на вид (рус. массивный)	вес	тяжелый	и	 At the same time we are told that " Gabriel's eyes, irritated by the floor, which glittered with beeswax under the heavy chandelier, wandered to the wall above the piano "
*heavy	английский	массивные серьги 		тяжелый на вид (рус. массивный)	вес	тяжелый	и	действительно тяжелый  heavy earrings weighed down by 200 diamonds.
heavy	английский	тяжелые портьеры (шторы)	heavy draperies	тяжелый на вид (рус. массивный)	вес	тяжелый	и	There were paintings of bare-naked women on the walls, Turkish carpets on the floor, and the heavy draperies (the weight of the cloth) were fringed in gold.
heavy	английский	массивная арка, свод	heavy arc	тяжелый на вид (рус. массивный)	вес	тяжелый	и	The heavy (the way it looked or the weight of the material used )arc of the entablature, separating pendentive zone and cupola drum, connects the capitals of the foreground columns and locks into place the entire assemblage below.
heavy	английский	тяжелые тучи, облака		тяжелый на вид (рус. массивный)	вес	тяжелый	и	She could tell by the heavy clouds that it was about to rain.coca
heavy	английский	массивный подбородок (черты лица)	heavy features	тяжелый на вид (рус. массивный)	вес	тяжелый	и	dense??? His heavy features were dripping with sweat. He had a heavy face=He was a heavy-featured man.
	английский	тяжеловесная фигура, балерина		тяжелый на вид, отрицательное (рус. тяжеловесный)		тяжелый	и
	английский	тяжеловесные декорации, узор, орнамент		тяжелый на вид, отрицательное (рус. тяжеловесный)		тяжелый	и
	английский	тяжеловесная мебель		тяжелый на вид, отрицательное (рус. тяжеловесный)
heavy	английский	увесистый том	weighty tome	вес больше нормы, цель - не обязательно перенести с места на место (рус. увесистый)		тяжелый		Rather than fill all the shelves with weighty tomes, Janie and Deborah took a novel approach. Coca
heavy	английский	увесистый конверт, бумажник	heavy wallet/envelope 	вес больше нормы, цель - не обязательно перенести с места на место (рус. увесистый)	вес	тяжелый	и	He brought out a heavy wallet/envelope (the look of it or the weight)and laid it on the table.
heavy	английский	увесистая дубина	heavy club	вес больше нормы, цель - не обязательно перенести с места на место (рус. увесистый)	вес	тяжелый	и	He struck him unconscious with a heavy club.
heavy	английский	увесистый кулак 	heavy fist 	вес больше нормы, цель - не обязательно перенести с места на место (рус. увесистый)	вес	тяжелый	и	He was heavy-fisted, thuggish and looked violent. His heavy fist struck a blow on the door/thumped the table.
heavy	английский	увесистый подзатыльник	heavy blow	вес больше нормы, цель - не обязательно перенести с места на место (рус. увесистый)	вес	тяжелый	и	He dealt him a heavy blow on the back of the head.
heavy	английский	увесистый булыжник (камень)	heavy=massive boulder/rock	вес больше нормы, цель - не обязательно перенести с места на место (рус. увесистый)	вес	тяжелый	и	They saw a heavy boulder lying across the entrance.
*heavy	английский	теплая шуба		одежда: теплый	вес	тяжелый	и	тяжелый по весу: I am still in my pyjamas, but a heavy winter coat sufficiently disguises that. A heavy winter coat sometimes isn't always the best thing. Layers definitely can keep you warmer.	I wore a heavy coat and wound myself in woolen scarves, but the chill went deep beneath my skin coca
*heavy	английский	теплая шапка		одежда: теплый	вес	тяжелый	и	heavy=thick woolen hat (the material is heavy, and the material has to be added)
heavy	английский	теплая шаль/шарф		одежда: теплый	вес	тяжелый	и	heavy shawl/scarf
heavy	английский	теплые носки	heavy socks	одежда: теплый	вес	тяжелый	и	Heavy socks also keep your feet warm in colder conditions. First put on the thin liners, then the heavy socks.
heavy	английский	почва	heavy soil	трудно вспахать/увязаешь (густой, вязкий)	вес	тяжелый	и	You need a steel plough to break the heavy soil. The heavy soil stuck in clods to his boots.
heavy	английский	песок		трудно вспахать/увязаешь (густой, вязкий)	вес	тяжелый	и
heavy	английский	насколько ты тяжел (=сколько весишь)	How much do you weigh?	объективно большой вес	вес	тяжелый	и	How heavy are you? (в американск. англ. неприлично)
				ПЕРЕНОСНЫЕ
heavy	английский	тяжелая пища, еда	heavy meal/dish	доставляет физическую тяжесть, неудобство			п	Never have a heavy meal before going to bed.
heavy	английский	плотный обед	lunch/dinner	доставляет физическую тяжесть, неудобство			п	After a heavy lunch of steak and kidney pudding he fell fast asleep.
?heavy	английский	живот (беременная)		доставляет физическую тяжесть, неудобство			п	heavy with child - literary and euphemistic	опять  heavy with
heavy	английский	желудок (ср. тяжесть в желудке)		доставляет физическую тяжесть, неудобство			п	He had a heavy stomach /His stomach was/felt  heavy after the meal.
	английский	тяжелая голова (с похмелья)		доставляет физическую тяжесть, неудобство			п
*heavy	английский	давящий на глаза, раздражающий свет, цвет		доставляет физическую тяжесть, неудобство			п	не то: And oddly enough, the heavy light (at the sunset OR sometimes in autumn - grey and heavy) could make even the same thing look different. The shadows were heavy, too; I suppose the explanation must lie in the eye's response to all that sun.
heavy	английский	интенсивная вонь		доставляет физическую тяжесть, неудобство			п
heavy	английский	низкий  звук, низкий голос (бас)		доставляет физическую тяжесть, неудобство			п	The heavy drone/thump of the bass
heavy	английский	громкий звук	heavy sound	доставляет физическую тяжесть, неудобство			п	Sometimes the waves hit - a loud heavy sound as if a large fish had struck the boat. there is the long and heavy sound of him sliding down against the door and onto the floor.
heavy	английский	давящий шум, гудение, жжужание	heavy thud, buzzing	доставляет физическую тяжесть, неудобство			п	There was a heavy thud in the next room. The heavy buzzing frightened the dog.
heavy	английский	громкая музыка	drum heavy music 	доставляет физическую тяжесть, неудобство			п	стиль или: Heavy drumming of the band/rain/feet  on the parade ground
heavy	английский	приторная сладость	The heavy sweetness	доставляет физическую тяжесть, неудобство			п
*heavy	английский	тяжелый сон (при болезни), забытие		доставляет физическую тяжесть, неудобство			п
heavy	английский	тяжелое дыхание	heavy breathing	доставляет физическую тяжесть, неудобство			п	heavy breathing - from agitation for a bad reason, or physical effort (doctor: breathe deeply
heavy	английский	тяжелые роды	heavy labour	доставляет физическую тяжесть, неудобство			п	difficult delivery=heavy labour
heavy	английский	погода (когда душно)	heavy weather	доставляет физическую тяжесть, неудобство			п	heavy weather - moisture and hot
heavy	английский	трудный поход	heavy climb	доставляет физическую тяжесть, неудобство			п
	английский	трудная дорога (в физическом смысле)		доставляет физическую тяжесть, неудобство			п
heavy	английский	тяжелая работа	heavy work (physical)	доставляет физическую тяжесть, неудобство			п	heavy work (physical)  + "много работы" heavy workload
*heavy	английский	тяжелый человек (с трудным характером)		давит ментально			п
