Unnamed: 0	lexeme	lang	mframe	mframe_trans	frame	tax_class	field	meaning	example	comment	usage
11564	spitz	немецкий	острая наблюдательность	наблюдательность	интенсивный по степени проявления (о качествах человека)	высокая степень		f			0
4668	gur’kstəms	мокшанский	гладкая шерсть (у собаки)	pona		физ. свойства	гладкий	d			0
4368	lame	эстонский	гладкая шерсть (у собаки)	karv		физ. свойства	гладкий	d			0
4371	lame	эстонский	гладкие волосы (хорошо причесанные)	juuksed		физ. свойства	гладкий	d			0
4370	lame	эстонский	гладкий подбородок (чисто выбритый)	lõug		физ. свойства	гладкий	d			0
4143	libe	эстонский	гладкая шерсть (у собаки)	karv		физ. свойства	гладкий	d			0
4146	libe	эстонский	гладкие волосы (хорошо причесанные)	juuksed		физ. свойства	гладкий	d			0
4145	libe	эстонский	гладкий подбородок (чисто выбритый)	lõug		физ. свойства	гладкий	d			0
3543	liukas	финский	гладкая шерсть (у собаки)	villa		физ. свойства	гладкий	d			0
4518	pajłi	хантыйский (говор с. теги)	гладкая шерсть (у собаки)	pŭn		физ. свойства	гладкий	d			0
4521	pajłi	хантыйский (говор с. теги)	гладкие волосы (хорошо причесанные)	uopǝt		физ. свойства	гладкий	d			0
4519	pajłi	хантыйский (говор с. теги)	гладкие щеки (чисто выбритые)	weš pŭŋǝł		физ. свойства	гладкий	d			0
4218	sile	эстонский	гладкая шерсть (у собаки)	karv		физ. свойства	гладкий	d			1
4221	sile	эстонский	гладкие волосы (хорошо причесанные)	juuksed		физ. свойства	гладкий	d			1
4220	sile	эстонский	гладкий подбородок (чисто выбритый)	lõug		физ. свойства	гладкий	d			1
4293	tasane	эстонский	гладкая шерсть (у собаки)	karv		физ. свойства	гладкий	d			0
4296	tasane	эстонский	гладкие волосы (хорошо причесанные)	juuksed		физ. свойства	гладкий	d			0
4295	tasane	эстонский	гладкий подбородок (чисто выбритый)	lõug		физ. свойства	гладкий	d			0
4743	vad'av	мокшанский	гладкая шерсть (у собаки)	pona		физ. свойства	гладкий	d			1
4593	valaz’ɛ	мокшанский	гладкая шерсть (у собаки)	pona		физ. свойства	гладкий	d			0
4818	vid’ə	мокшанский	гладкая шерсть (у собаки)	pona		физ. свойства	гладкий	d			0
4443	wŏł’ǝk	хантыйский (говор с. теги)	гладкая шерсть (у собаки)	pŭn		физ. свойства	гладкий	d			1
4446	wŏł’ǝk	хантыйский (говор с. теги)	гладкие волосы (хорошо причесанные)	uopǝt		физ. свойства	гладкий	d			1
4444	wŏł’ǝk	хантыйский (говор с. теги)	гладкие щеки (чисто выбритые)	weš pŭŋǝł		физ. свойства	гладкий	d			1
4968	валаня	эрзянский	гладкая шерсть (у собаки)	пона		физ. свойства	гладкий	d			1
4971	валаня	эрзянский	гладкие волосы (хорошо причесанные)	черь		физ. свойства	гладкий	d			1
4972	валаня	эрзянский	гладкие перышки птицы	толгине		физ. свойства	гладкий	d			1
3243	вольк	коми-зырянский (ижемский диалект)	гладкая шерсть (у собаки)	гӧн		физ. свойства	гладкий	d			0
3246	вольк	коми-зырянский (ижемский диалект)	гладкие волосы (хорошо причесанные)	юрси		физ. свойства	гладкий	d			0
3244	вольк	коми-зырянский (ижемский диалект)	гладкие щеки (чисто выбритые)	банбӧк		физ. свойства	гладкий	d			0
3245	вольк	коми-зырянский (ижемский диалект)	гладкий подбородок (чисто выбритый)	тшӧка		физ. свойства	гладкий	d			0
3318	вольсъёоны	коми-зырянский (ижемский диалект)	гладкая шерсть (у собаки)	гӧн		физ. свойства	гладкий	d			0
3321	вольсъёоны	коми-зырянский (ижемский диалект)	гладкие волосы (хорошо причесанные)	юрси		физ. свойства	гладкий	d			0
3319	вольсъёоны	коми-зырянский (ижемский диалект)	гладкие щеки (чисто выбритые)	банбӧк		физ. свойства	гладкий	d			0
3320	вольсъёоны	коми-зырянский (ижемский диалект)	гладкий подбородок (чисто выбритый)	тшӧка		физ. свойства	гладкий	d			0
3018	гладкий	русский	гладкая шерсть (у собаки)	шерсть		физ. свойства	гладкий	d			1
3021	гладкий	русский	гладкие волосы (хорошо причесанные)	волосы		физ. свойства	гладкий	d			1
3022	гладкий	русский	гладкие перышки птицы	перышко		физ. свойства	гладкий	d			1
3019	гладкий	русский	гладкие щеки (чисто выбритые)	щека		физ. свойства	гладкий	d			1
3020	гладкий	русский	гладкий подбородок (чисто выбритый)	подбородок		физ. свойства	гладкий	d			1
5043	лапужа	эрзянский	гладкая шерсть (у собаки)	пона		физ. свойства	гладкий	d			0
5046	лапужа	эрзянский	гладкие волосы (хорошо причесанные)	черь		физ. свойства	гладкий	d			0
5047	лапужа	эрзянский	гладкие перышки птицы	толгине		физ. свойства	гладкий	d			0
3393	мольыд	коми-зырянский (ижемский диалект)	гладкая шерсть (у собаки)	гӧн		физ. свойства	гладкий	d			1
3396	мольыд	коми-зырянский (ижемский диалект)	гладкие волосы (хорошо причесанные)	юрси		физ. свойства	гладкий	d			1
3394	мольыд	коми-зырянский (ижемский диалект)	гладкие щеки (чисто выбритые)	банбӧк		физ. свойства	гладкий	d			1
3395	мольыд	коми-зырянский (ижемский диалект)	гладкий подбородок (чисто выбритый)	тшӧка		физ. свойства	гладкий	d			1
5193	нăсадăрць	ненецкий	гладкая шерсть (у собаки)	"тăр"""		физ. свойства	гладкий	d			0
5196	нăсадăрць	ненецкий	гладкие волосы (хорошо причесанные)	ӈэбт		физ. свойства	гладкий	d			0
4893	нолажа	эрзянский	гладкая шерсть (у собаки)	пона		физ. свойства	гладкий	d			0
4896	нолажа	эрзянский	гладкие волосы (хорошо причесанные)	черь		физ. свойства	гладкий	d			0
4897	нолажа	эрзянский	гладкие перышки птицы	толгине		физ. свойства	гладкий	d			0
